metro_name,tot_score,white_score,black_score,api_score,hisp_score,total,white,black,api,hisp
100 large metros,58,74,30,77,33,50273458,21361090,7763230,3461822,14709245
"Akron, OH",64,69,16,69,58,144227,98996,21967,5724,5211
"Albany-Schenectady-Troy, NY",77,81,23,85,53,176081,119874,16790,9931,15742
"Albuquerque, NM",39,55,34,51,30,201284,47318,5892,4637,125703
"Allentown-Bethlehem-Easton, PA-NJ",68,77,44,81,36,181617,102540,14748,5393,52581
"Atlanta-Sandy Springs-Alpharetta, GA",54,73,36,81,41,1466493,546319,523922,86724,236260
"Augusta-Richmond County, GA-SC",29,41,17,59,30,140642,63979,53744,2370,11420
"Austin-Round Rock-Georgetown, TX",67,82,51,85,43,511286,199995,37288,29439,219112
"Bakersfield, CA",14,42,13,47,10,262986,58460,13853,10199,172627
"Baltimore-Columbia-Towson, MD",75,85,44,85,64,625854,284558,197737,36988,63156
"Baton Rouge, LA",48,53,20,56,36,204318,97823,79695,3065,12640
"Birmingham-Hoover, AL",45,58,20,83,32,255950,138669,83206,3602,21036
"Boise City, ID",56,59,64,76,45,185813,131941,2477,3203,38081
"Boston-Cambridge-Newton, MA-NH",86,91,50,91,47,974111,574023,91083,77631,164760
"Bridgeport-Stamford-Norwalk, CT",88,95,39,88,50,214925,108754,24851,11349,57836
"Brownsville-Harlingen, TX",9,19,21,21,9,127237,5452,1256,614,120275
"Buffalo-Cheektowaga, NY",64,73,17,15,26,236616,153206,35149,11446,21735
"Cape Coral-Fort Myers, FL",39,50,18,52,28,132833,58610,17459,2243,48014
"Charleston-North Charleston, SC",54,63,34,56,39,172721,95331,47010,3336,16390
"Charlotte-Concord-Gastonia, NC-SC",55,67,39,81,35,621775,309767,148636,26548,102437
"Chicago-Naperville-Elgin, IL-IN-WI",65,82,24,82,39,2189782,908516,378321,131199,677714
"Cincinnati, OH-KY-IN",65,70,23,84,41,528139,372311,72442,15180,31608
"Cleveland-Elyria, OH",62,75,13,79,25,441267,259307,101194,9488,42669
"Colorado Springs, CO",63,71,48,71,51,177560,101814,10462,3914,44957
"Columbia, SC",48,56,29,59,37,183556,85109,66869,4386,17063
"Columbus, OH",64,71,24,81,41,501635,308367,98767,22067,36407
"Dallas-Fort Worth-Arlington, TX",51,72,38,82,25,1957211,664443,317824,139518,750723
"Dayton-Kettering, OH",57,60,10,71,48,179398,120992,30309,3592,8570
"Denver-Aurora-Lakewood, CO",72,85,47,78,40,653677,327390,42264,27274,217300
"Des Moines-West Des Moines, IA",69,76,45,54,40,176209,124594,13625,7925,20578
"Detroit-Warren-Dearborn, MI",57,69,9,84,31,971501,554130,238989,45945,72111
"Durham-Chapel Hill, NC",65,73,42,88,39,130373,55299,33629,4648,28002
"El Paso, TX",27,43,32,36,23,234032,19030,6270,2357,202709
"Fayetteville, NC",31,35,28,35,30,132310,50550,41839,2649,23947
"Fayetteville-Springdale-Rogers, AR",58,62,58,52,32,136090,77643,3952,7563,33047
"Fresno, CA",16,48,11,22,11,286312,48838,12180,30295,184629
"Grand Rapids-Kentwood, MI",63,69,34,65,40,258216,175150,19806,6590,40419
"Greensboro-High Point, NC",35,49,23,51,24,171298,76500,49274,8093,27044
"Greenville-Anderson, SC",49,54,38,67,34,206087,130125,33026,4593,24161
"Hartford-East Hartford-Middletown, CT",78,87,41,87,32,244714,126863,32212,14778,57577
"Houston-The Woodlands-Sugar Land, TX",43,73,31,77,22,1876304,502177,318023,125285,867777
"Indianapolis-Carmel-Anderson, IN",61,69,24,70,31,516137,316436,90000,20689,58536
"Jackson, MS",38,59,15,82,39,141940,55178,77704,1712,5132
"Jacksonville, FL",50,64,24,62,46,356421,182351,88995,12835,44187
"Kansas City, MO-KS",66,72,24,76,37,527558,328072,71089,16648,75223
"Knoxville, TN",50,51,26,79,46,181086,142301,11755,2689,13902
"Lakeland-Winter Haven, FL",26,33,23,33,24,158952,66219,29493,2175,54859
"Las Vegas-Henderson-Paradise, NV",38,59,24,57,19,517618,141166,69329,40231,223597
"Little Rock-North Little Rock-Conway, AR",43,55,25,66,28,175391,98150,48696,2738,16066
"Los Angeles-Long Beach-Anaheim, CA",44,85,24,72,26,2868762,548774,165475,384368,1624086
"Louisville/Jefferson County, KY-IN",51,60,22,64,39,288100,186391,52721,7942,24331
"Madison, WI",78,78,70,81,69,139400,97564,8587,6940,15036
"McAllen-Edinburg-Mission, TX",6,17,30,45,6,281366,7663,1829,1950,269717
"Memphis, TN-MS-AR",27,62,10,77,19,333370,111295,169661,6702,32669
"Miami-Fort Lauderdale-Pompano Beach, FL",47,71,25,70,46,1246517,296358,324959,28153,557035
"Milwaukee-Waukesha, WI",63,82,8,57,23,363818,181136,81449,17412,64567
"Minneapolis-St. Paul-Bloomington, MN-WI",77,81,51,62,63,867929,533385,109255,71212,81855
"Modesto, CA",32,42,28,36,24,150301,41063,4325,8134,90652
"Nashville-Davidson--Murfreesboro--Franklin, TN",57,66,34,70,36,453173,282389,71207,13641,57739
"New Haven-Milford, CT",68,85,32,77,33,175492,79902,29678,6948,52889
"New Orleans-Metairie, LA",37,58,22,41,32,283915,119006,110174,7189,34270
"New York-Newark-Jersey City, NY-NJ-PA",65,86,32,77,38,4321070,1656477,739446,460779,1319537
"North Port-Sarasota-Bradenton, FL",58,63,23,66,37,133415,76771,12772,3147,32665
"Ogden-Clearfield, UT",66,69,67,69,54,209277,161278,1934,2484,33253
"Oklahoma City, OK",47,57,23,68,18,347976,176083,38445,8926,77238
"Omaha-Council Bluffs, NE-IA",67,74,27,60,35,246225,158464,21891,8159,42225
"Orlando-Kissimmee-Sanford, FL",49,63,23,63,41,576174,199615,110886,21760,216574
"Oxnard-Thousand Oaks-Ventura, CA",61,80,61,75,37,193248,58815,2871,11052,110481
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",69,85,26,81,36,1354876,677205,314569,83412,207970
"Phoenix-Mesa-Chandler, AZ",44,67,30,74,22,1131882,441115,71305,40880,497055
"Pittsburgh, PA",67,72,27,86,63,451678,343572,47752,12638,13659
"Portland-Vancouver-Hillsboro, OR-WA",68,71,49,78,57,531084,320356,17159,35087,105973
"Poughkeepsie-Newburgh-Middletown, NY",73,74,62,76,68,158216,90474,16743,4556,38354
"Providence-Warwick, RI-MA",67,77,29,67,25,332588,198334,24306,10752,75860
"Provo-Orem, UT",71,75,71,68,66,219012,173340,1602,3183,30154
"Raleigh-Cary, NC",72,80,54,93,55,333782,171315,64247,21449,55948
"Richmond, VA",62,78,34,87,49,282490,137574,84863,11668,30258
"Riverside-San Bernardino-Ontario, CA",32,51,27,63,26,1180526,232632,80480,72245,745875
"Rochester, NY",65,72,13,76,36,224682,144015,33596,7397,28597
"Sacramento-Roseville-Folsom, CA",58,68,32,55,41,545500,210025,39395,80777,168025
"Salt Lake City, UT",65,73,39,43,38,338427,213247,8161,15655,81344
"San Antonio-New Braunfels, TX",41,64,35,56,29,637198,155813,43293,15191,407930
"San Diego-Chula Vista-Carlsbad, CA",61,78,46,80,42,713835,225791,33459,70880,329061
"San Francisco-Oakland-Berkeley, CA",84,94,58,90,59,934024,258362,64614,224276,290786
"San Jose-Sunnyvale-Santa Clara, CA",87,95,83,93,64,438514,90722,9657,149735,153051
"Seattle-Tacoma-Bellevue, WA",76,80,53,86,61,851895,417387,57243,115424,145901
"Springfield, MA",61,75,25,62,25,136776,72550,11580,3942,43810
"St. Louis, MO-IL",63,71,20,86,63,627187,402594,131582,16097,31160
"Stockton, CA",36,48,28,48,28,209515,39152,13416,33938,111114
"Syracuse, NY",59,66,5,44,40,139426,97654,15610,4923,10482
"Tampa-St. Petersburg-Clearwater, FL",49,59,32,64,40,626320,297311,96945,22480,171388
"Toledo, OH",54,58,7,61,46,144676,91896,22244,2111,16696
"Tucson, AZ",35,62,27,64,21,215627,69998,8740,4587,116085
"Tulsa, OK",41,48,14,54,17,249658,125170,21812,7853,42392
"Urban Honolulu, HI",64,67,59,62,63,216074,26906,4945,89115,38696
"Virginia Beach-Norfolk-Newport News, VA-NC",58,68,38,71,55,396828,180815,127777,13027,41023
"Visalia, CA",13,25,14,13,9,145105,24356,2775,5098,110854
"Washington-Arlington-Alexandria, DC-VA-MD-WV",80,90,65,92,65,1459832,532654,357417,136588,324632
"Wichita, KS",51,62,22,55,23,164780,99164,12968,5381,34132
"Winston-Salem, NC",37,44,22,59,25,150189,81956,27708,2867,29992
"Worcester, MA-CT",75,80,54,91,44,204185,130570,12601,10214,38639
